,WE1,WE1,WE1,WE2,WE2,WE2,WE3,WE3,WE3
,HM,LB,MW,HM,LB,MW,HM,LB,MW
Q_heat,30.94,59.59,42.68,24.27,54.46,44.89,34.01,54.62,37.92
Q_intern,59.46,59.46,59.46,53.58,53.58,53.58,59.58,59.58,59.58
Q_ACR,-46.06,-41.61,-45.9,-49.26,-46.58,-49.27,-48.34,-44.16,-47.9
Q_surf,-62.83,-95.22,-74.56,-40.46,-72.72,-60.95,-67.09,-90.91,-71.22
Q_solair,1.72,1.59,1.69,1.03,0.95,1.01,2.03,1.87,1.99
Q_solabs,19.89,18.4,19.57,12.02,11.14,11.84,23.34,21.51,22.96
